Last Report Year,5 Digit NTDID,4 Digit NTDID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,Primary UZA Name,UZA,UZA Area SQ Miles,UZA Population,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1993,20923,2923,Rockland Coaches Inc.,Inactive,Full Reporter,Bergenfield,NJ,1990,"New York, NY--Northeastern NJ",1,"2,967","16,044,012",,,,,,,,,,,,,,,
2016,22930,,New York City Economic Development Corporation,Active,Full Reporter,New York,NY,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",,,,,,,,,,,,,,"$5,658,661","$6,585,539"
2016,30001,3001,Kanawha Valley Regional Transportation Authority(KVRTA),Active,Full Reporter,Charleston,WV,2010,"Charleston, WV",214,98,"153,199","$1,317,391","$1,315,674","$1,347,918","$1,578,995","$1,586,062","$1,742,368","$1,829,627","$2,003,232","$1,895,273","$1,977,784","$2,090,430","$2,085,564","$2,054,172","$1,986,572","$2,025,495"
2016,30002,3002,The Tri-State Transit Authority(TTA),Active,Full Reporter,Huntington,WV,2010,"Huntington, WV-KY-OH",178,130,"202,637","$378,316","$361,211","$354,064","$363,353","$472,374","$518,096","$523,443","$660,894","$637,571","$679,445","$790,469","$854,074","$864,041","$891,909","$890,963"
2016,30003,3003,Mid-Ohio Valley Transit Authority(Easy Rider),Active,Reduced Reporter,Parkersburg,WV,2010,"Parkersburg, WV-OH",411,42,"67,229","$137,418","$137,076",,,,,,,"$166,996","$182,564","$202,003","$171,301","$180,703","$334,181","$255,002"
1999,30004,3004,Peninsula Transportation District Commission,Inactive,Full Reporter,Hampton,VA,1990,"Norfolk--Virginia Beach--Newport News, VA",24,664,"1,323,098",,,,,,,,,,,,,,,
1999,30005,3005,Tidewater Transportation District Commission,Inactive,Full Reporter,Norfolk,VA,1990,"Norfolk--Virginia Beach--Newport News, VA",24,664,"1,323,098",,,,,,,,,,,,,,,
2016,30006,3006,Greater Richmond Transit Company(GRTC Transit System),Active,Full Reporter,Richmond,VA,2010,"Richmond, VA",45,492,"953,556","$16,888,125","$8,101,695","$8,167,775","$9,634,114","$9,602,856","$11,470,711","$12,079,039","$11,384,674","$11,005,122","$12,173,757","$12,480,239","$12,108,884","$11,660,038","$10,849,731","$10,321,607"
2016,30007,3007,Greater Roanoke Transit Company(Valley Metro),Active,Full Reporter,Roanoke,VA,2010,"Roanoke, VA",172,124,"210,111","$1,274,463","$1,269,712","$1,305,604","$1,410,306","$1,580,821","$1,625,306","$1,839,603","$1,949,932","$1,895,954","$2,003,661","$2,131,743","$2,229,005","$2,295,117","$2,262,382","$2,141,354"
2016,30008,3008,Greater Lynchburg Transit Company(GLTC),Active,Full Reporter,Lynchburg,VA,2010,"Lynchburg, VA",271,89,"116,636","$722,374","$781,222","$739,994","$802,632","$851,849","$822,188","$907,096","$964,801","$980,155","$1,056,514","$1,126,825","$1,083,459","$1,110,995","$991,017","$2,182,715"
2016,30009,3009,Petersburg Area Transit(PAT),Active,Reduced Reporter,Petersburg,VA,2010,"Richmond, VA",45,492,"953,556","$356,058","$345,351","$346,857","$350,561","$422,696","$436,010","$437,953","$401,745","$461,933","$383,204","$457,075","$519,271","$499,146","$480,975","$483,722"
2016,30010,3010,Lehigh and Northampton Transportation Authority(LANTA),Active,Full Reporter,Allentown,PA,2010,"Allentown, PA-NJ",61,346,"664,651","$2,978,154","$3,104,899","$3,186,810","$3,340,088","$3,490,373","$3,700,692","$5,307,593","$4,179,486","$4,519,350","$5,014,759","$5,126,822","$5,174,793","$5,371,878","$5,420,379","$5,756,505"
2016,30011,3011,Altoona Metro Transit,Active,Full Reporter,Altoona,PA,2010,"Altoona, PA",359,37,"79,930","$537,227","$550,590","$563,655","$564,048","$578,188","$590,086","$680,606","$689,353","$681,809","$746,635","$833,018","$786,141","$745,046","$735,206","$735,855"
2016,30012,3012,Cambria County Transit Authority(CamTran),Active,Full Reporter,Johnstown,PA,2010,"Johnstown, PA",400,39,"69,014","$691,209","$686,972","$684,337","$763,297","$838,127","$854,322","$845,227","$852,925","$1,064,023","$1,072,794","$1,103,395","$1,561,300","$1,651,776","$1,622,169","$1,843,101"
2016,30013,3013,Erie Metropolitan Transit Authority(the e),Active,Full Reporter,Erie,PA,2010,"Erie, PA",183,82,"196,611","$3,696,475","$3,785,906","$4,965,547","$5,509,875","$5,659,055","$5,606,092","$5,764,444","$5,957,610","$5,835,454","$6,163,628","$6,316,486","$6,586,813","$6,531,308","$6,729,004","$6,469,454"
2016,30014,3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit)(CAT),Active,Full Reporter,Harrisburg,PA,2010,"Harrisburg, PA",86,260,"444,474","$3,427,223","$4,544,896","$3,125,051","$3,699,064","$4,160,455","$5,132,372","$3,944,608","$4,167,354","$4,105,779","$4,473,077","$4,540,765","$4,467,089","$3,512,441","$3,456,979","$3,283,108"
2016,30015,3015,Luzerne County Transportation Authority(LCTA),Active,Full Reporter,Kingston,PA,2010,"Scranton, PA",99,171,"381,502","$662,644","$663,746","$690,037","$742,256","$805,422","$968,105","$1,027,492","$1,038,313","$1,018,687","$1,088,052","$1,240,496","$1,261,686","$1,289,204","$1,868,142","$1,842,439"
2016,30018,3018,Red Rose Transit Authority(RRTA),Active,Full Reporter,Lancaster,PA,2010,"Lancaster, PA",91,248,"402,004","$1,884,073","$1,844,224","$1,944,187","$1,991,969","$2,128,886","$2,226,046","$2,364,463","$2,395,522","$2,354,964","$2,431,656","$2,636,668","$2,950,815","$2,700,453","$2,768,314","$2,716,827"
2016,30019,3019,Southeastern Pennsylvania Transportation Authority(SEPTA),Active,Full Reporter,Philadelphia,PA,2010,"Philadelphia, PA-NJ-DE-MD",5,"1,981","5,441,567","$321,100,219","$324,711,292","$327,463,348","$330,766,549","$333,693,615","$348,621,108","$396,947,742","$408,753,089","$400,096,593","$443,540,475","$451,094,843","$447,480,141","$476,651,044","$481,627,476","$475,128,169"
2016,30022,3022,Port Authority of Allegheny County(Port Authority),Active,Full Reporter,Pittsburgh,PA,2010,"Pittsburgh, PA",27,905,"1,733,853","$64,252,645","$69,380,506","$70,192,384","$69,242,026","$71,669,672","$74,132,405","$79,883,702","$87,959,532","$89,227,611","$95,014,608","$98,232,138","$100,532,364","$100,064,886","$102,438,868","$101,866,478"
2016,30023,3023,Beaver County Transit Authority(BCTA),Active,Full Reporter,Rochester,PA,2010,"Pittsburgh, PA",27,905,"1,733,853",$0,"$1,261,032","$1,282,968","$1,421,180","$1,522,328","$1,559,715","$1,659,328","$2,052,477","$2,124,278","$2,253,597","$2,225,827","$2,274,607","$2,299,689","$2,200,821","$2,234,999"
2016,30024,3024,Berks Area Regional Transportation Authority(BARTA),Active,Full Reporter,Reading,PA,2010,"Reading, PA",140,104,"266,254","$2,556,940","$2,515,247","$2,327,374","$2,455,731","$2,425,861","$2,912,278","$3,191,657","$3,081,177","$3,097,022","$3,263,734","$3,349,812","$3,435,556","$3,514,448","$3,620,625","$3,161,785"
2016,30025,3025,County of Lackawanna Transit System(COLTS),Active,Full Reporter,Scranton,PA,2010,"Scranton, PA",99,171,"381,502","$738,527","$768,298","$716,671","$790,399","$803,761","$856,638","$908,601","$945,691","$911,778","$954,174","$1,065,381","$1,197,007","$1,332,978","$1,260,381","$1,260,805"
2016,30026,3026,Williamsport Bureau of Transportation(RVT),Active,Full Reporter,Williamsport,PA,2010,"Williamsport, PA",462,27,"56,142","$505,171","$573,640","$640,045","$628,314","$687,928","$693,717","$702,096","$800,954","$805,854","$817,104","$870,437","$847,283","$734,089","$756,687","$778,619"
2016,30027,3027,York County Transportation Authority(rabbittransit),Active,Full Reporter,York,PA,2010,"York, PA",158,132,"232,045","$1,994,610","$3,004,284","$3,395,720","$3,668,893","$4,150,652","$5,363,291","$4,887,936","$5,189,055","$5,895,650","$5,422,005","$8,006,559","$6,930,779","$6,941,527","$7,186,959","$10,202,170"
2016,30030,3030,Washington Metropolitan Area Transit Authority(WMATA),Active,Full Reporter,Washington,DC,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770","$375,312,104","$384,099,606","$421,270,027","$477,846,720","$507,206,483","$514,611,829","$571,060,840","$622,672,283","$600,669,889","$710,601,594","$714,512,997","$756,295,649","$746,257,498","$782,530,362","$724,560,300"
1995,30031,3031,Delaware Administration for Regional Transit,Inactive,Full Reporter,Dover,DE,1990,"Wilmington, DE--NJ--MD--PA",68,188,"449,616",,,,,,,,,,,,,,,
1995,30032,3032,Delaware Administration for Specialized Transportation,Inactive,Full Reporter,Dover,DE,1990,"Dover, DE",392,38,"50,787",,,,,,,,,,,,,,,
2016,30034,3034,Maryland Transit Administration(MTA),Active,Full Reporter,Baltimore,MD,2010,"Baltimore, MD",19,717,"2,203,663","$93,945,040","$93,150,171","$113,445,578","$115,353,270","$117,793,877","$123,934,015","$125,679,777","$125,758,369","$133,127,901","$138,192,791","$137,905,520","$139,675,448","$136,704,625","$136,013,030","$153,366,531"
2016,30035,3035,Ohio Valley Regional Transportation Authority(OVRTA / EORTA),Active,Full Reporter,Wheeling,WV,2010,"Wheeling, WV-OH",353,47,"81,249","$297,950","$285,034","$282,393","$293,976","$323,842","$403,891","$406,925","$411,240","$397,423","$409,183","$420,173","$433,168","$434,953","$424,133","$413,411"
2016,30036,3036,Charlottesville Area Transit(CAT),Active,Reduced Reporter,Charlottesville,VA,2010,"Charlottesville, VA",317,35,"92,359","$535,790","$539,852","$482,950","$497,651","$542,046","$539,321","$589,980","$724,039","$633,860","$837,778","$871,509","$756,570","$765,326","$551,563","$484,203"
2016,30040,3040,Annapolis Department of Transportation(Annapolis Transit),Active,Reduced Reporter,Annapolis,MD,2010,"Baltimore, MD",19,717,"2,203,663","$613,265","$685,089","$666,506","$721,621","$731,882","$787,043","$796,290","$770,622","$863,763","$646,657","$803,042","$760,278","$785,964","$810,885","$825,151"
2016,30041,3041,Allegany County Transit(ACT),Active,Reduced Reporter,Cumberland,MD,2010,"Cumberland, MD-WV-PA",484,33,"51,899",,,,,"$193,599","$223,546","$243,665","$258,611","$228,337","$262,300","$294,109","$290,012","$293,394","$296,166","$156,309"
2016,30042,3042,Washington County Transit(County Commuter),Active,Reduced Reporter,Hagerstown,MD,2010,"Hagerstown, MD-WV-PA",189,133,"182,696","$240,500","$216,874","$239,772","$242,320","$270,659","$273,192","$284,469","$301,121","$294,208","$308,279","$343,628","$359,498","$350,321","$347,763","$329,891"
1996,30043,3043,The Columbia Transit System,Inactive,Full Reporter,Columbia,MD,1990,"Baltimore, MD",17,593,"1,889,873",,,,,,,,,,,,,,,
2016,30044,3044,Westmoreland County Transit Authority(WCTA),Active,Full Reporter,Greensburg,PA,2010,"Pittsburgh, PA",27,905,"1,733,853","$278,984","$290,138","$318,677","$376,190","$490,826","$495,674","$681,663","$873,471","$855,419","$922,900","$1,079,963","$1,293,184","$6,084,121","$5,737,506","$5,453,968"
2016,30045,3045,"JAUNT, Inc.",Active,Full Reporter,Charlottesville,VA,2010,"Charlottesville, VA",317,35,"92,359",,,,,,,"$815,656","$886,370","$836,560","$923,655","$1,026,988","$1,072,588","$883,090","$1,247,856","$1,465,144"
1995,30047,3047,Delaware Railroad Administration,Inactive,Full Reporter,Doverngton,DE,1990,"Wilmington, DE--NJ--MD--PA",68,188,"449,616",,,,,,,,,,,,,,,
2016,30048,3048,Howard Transit(HT),Active,Full Reporter,Ellicott City,MD,2010,"Baltimore, MD",19,717,"2,203,663","$273,028","$302,238","$326,095","$429,004","$480,597","$476,031","$589,835","$511,946","$399,248","$803,379","$1,025,900","$1,066,731","$1,030,049","$998,899","$936,794"
2007,30050,3050,"G G and C Bus Company, Inc.",Inactive,Full Reporter,Washington,PA,2000,"Pittsburgh, PA",22,852,"1,753,136","$800,039","$911,192","$969,770","$1,018,702","$1,235,857","$1,481,492",,,,,,,,,
2016,30051,3051,Ride-On Montgomery County Transit,Active,Full Reporter,Rockville,MD,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770","$74,956,636","$10,177,965","$9,081,089","$9,941,425","$13,406,988","$13,856,117","$13,794,238","$14,348,318","$15,433,740","$19,780,939","$21,840,147","$21,934,919","$21,650,996","$23,160,884","$22,596,775"
2016,30053,3053,Bristol Virginia Transit(BVT),Active,Reduced Reporter,Bristol,VA,2010,"Bristol-Bristol, TN-VA",397,64,"69,501",,,,,,,,,,"$30,931","$35,993","$27,914","$33,251","$52,181","$57,253"
2016,30054,3054,Centre Area Transportation Authority(CATA),Active,Full Reporter,State College,PA,2010,"State College, PA",335,29,"87,454","$2,827,802","$3,085,449","$3,280,455","$3,385,824","$3,573,400","$3,834,232","$4,275,271","$4,786,554","$5,132,528","$5,621,964","$6,104,258","$6,299,760","$6,899,107","$7,966,030","$7,654,509"
2016,30055,3055,Shenango Valley Shuttle Service(SVSS),Active,Full Reporter,Hermitage,PA,2010,"Youngstown, OH-PA",97,241,"387,550",,"$102,701","$92,709","$99,640","$144,306","$151,909","$169,616","$153,572","$170,754","$160,675","$163,877","$158,814","$269,564","$291,486","$280,263"
2016,30057,3057,Pennsylvania Department of Transportation(PENNDOT),Active,Full Reporter,Harrisburg,PA,2010,"Philadelphia, PA-NJ-DE-MD",5,"1,981","5,441,567","$2,645,460","$2,727,733","$2,693,000","$2,733,935","$2,991,165","$5,283,800","$7,238,016","$7,988,939","$8,230,078","$8,841,644","$9,590,375","$10,376,663","$33,009,837","$38,328,482","$40,042,994"
2016,30058,3058,City of Fairfax CUE Bus(CUE),Active,Full Reporter,Fairfax,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770","$199,351","$226,058","$549,579","$447,023","$549,298","$581,435","$681,260","$840,972","$800,090","$1,182,591","$1,146,669","$1,324,232","$1,293,130","$1,301,394","$1,277,856"
2016,30061,3061,Mid Mon Valley Transit Authority(MMVTA),Active,Full Reporter,Charleroi,PA,2010,"Monessen-California, PA",417,45,"66,086","$454,782","$477,643","$556,251","$567,896","$594,019","$581,482","$590,758","$634,954","$654,886","$600,316","$634,779","$633,112","$660,863","$661,841","$606,745"
2016,30066,3066,Weirton Transit Corporation(WTC),Active,Reduced Reporter,Weirton,WV,2010,"Weirton-Steubenville, WV-OH-PA",389,51,"70,889",,,,,,,,,,$0,"$64,453","$59,155","$75,700","$70,169","$67,404"
2007,30067,3067,Access Transportation Systems(ACCESS),Inactive,Full Reporter,Pittsburgh,PA,2000,"Pittsburgh, PA",22,852,"1,753,136","$6,397,331","$6,541,709","$6,979,680","$7,143,089","$7,981,086","$8,710,689",,,,,,,,,
2016,30068,3068,Fairfax Connector Bus System(Fairfax Connector),Active,Full Reporter,Fairfax,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770","$2,694,398","$1,910,116","$3,216,579","$4,554,929","$5,306,628","$5,129,383","$3,607,786","$4,260,209","$3,139,058","$5,203,778","$5,730,412","$12,766,563","$12,552,163","$11,807,544","$11,841,358"
2013,30069,3069,City of Danville Mass Transit System(Danville Transit),Inactive,Reduced Reporter,Danville,VA,2010,Non-UZA,0,,,"$221,833","$227,766","$219,502","$230,283","$249,226","$215,074","$228,172","$231,568","$253,915","$274,750","$305,774","$343,507",,,
2016,30070,3070,Potomac and Rappahannock Transportation Commission(PRTC),Active,Full Reporter,Woodbridge,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770","$3,299,468","$4,117,237","$4,537,923","$5,093,832","$5,833,683","$6,380,938","$6,434,057","$8,731,717","$9,382,459","$10,961,497","$11,162,304","$10,525,172","$14,425,948","$18,424,758","$20,178,521"
2016,30071,3071,City of Alexandria(DASH),Active,Full Reporter,Alexandria,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770","$1,616,019","$1,707,515","$1,806,770","$1,887,473","$2,242,082","$2,083,107","$2,452,243","$2,713,641","$2,851,275","$3,475,237","$3,724,650","$3,636,005","$3,985,176","$3,880,308","$3,853,518"
2016,30072,3072,Transit Services of Frederick County,Active,Full Reporter,Frederick,MD,2010,"Frederick, MD",230,73,"141,576","$327,094","$397,506","$591,911","$753,105","$832,460","$1,132,936","$916,271","$911,004","$888,599","$997,753","$1,023,152","$1,004,342","$1,005,030","$1,092,366","$950,742"
2016,30073,3073,Virginia Railway Express(VRE),Active,Full Reporter,Alexandria,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770","$12,753,214","$15,048,262","$16,929,629","$19,439,464","$19,453,438","$19,685,561","$21,688,092","$25,909,794","$30,019,730","$32,368,123","$34,721,591","$34,733,106","$37,093,476","$36,700,191","$37,696,913"
2016,30074,3074,Harford Transit(HT),Active,Reduced Reporter,Abingdon,MD,2010,"Aberdeen-Bel Air South-Bel Air North, MD",169,131,"213,751","$155,790","$174,192","$183,627","$194,097","$233,872","$249,483","$249,269","$248,165","$227,089","$255,900","$293,281","$308,258","$292,301","$306,884","$303,921"
2016,30075,3075,Delaware Transit Corporation(DTC),Active,Full Reporter,Dover,DE,2010,"Philadelphia, PA-NJ-DE-MD",5,"1,981","5,441,567","$8,307,691","$8,158,773","$8,537,710","$8,862,404","$9,516,819","$9,680,512","$7,167,140","$10,765,075","$11,659,370","$12,251,850","$13,095,817","$12,798,620","$9,684,733","$15,990,645","$16,024,641"
2016,30076,3076,Williamsburg Area Transit Authority(WATA),Active,Full Reporter,Williamsburg,VA,2010,"Williamsburg, VA",371,56,"75,689","$123,957","$193,484","$324,829","$446,594","$457,219","$398,991","$322,127","$339,834","$427,853","$434,085","$555,284","$567,124","$601,915","$795,017","$771,525"
2016,30077,3077,Borough of Pottstown - Pottstown Area Rapid Transit(PART),Active,Full Reporter,Pottstown,PA,2010,"Pottstown, PA",287,79,"107,682",,,,,,,,,,"$293,093","$299,363","$276,902","$295,108","$332,188","$340,638"
2016,30078,3078,Southwestern Pennsylvania Commission(SPC),Active,Full Reporter,Pittsburgh,PA,2010,"Pittsburgh, PA",27,905,"1,733,853","$335,497","$249,687","$379,914","$398,552","$390,744","$376,195","$442,202","$481,516","$538,984","$577,458","$750,741","$879,217","$957,059","$867,931","$765,300"
2016,30079,3079,Fredericksburg Regional Transit(FRED),Active,Reduced Reporter,Fredericksburg,VA,2010,"Fredericksburg, VA",231,78,"141,238",,"$28,604","$32,157","$45,830","$50,416","$54,963","$116,662","$159,741","$271,610","$273,419","$368,072","$344,624","$423,081","$403,921","$384,305"
2016,30080,3080,Arlington Transit - Arlington County(ART),Active,Full Reporter,Arlington,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",,,"$342,895",,$0,,,"$1,289,659","$1,658,208","$2,466,963","$2,819,147","$3,202,610","$3,192,594","$3,432,006","$4,229,439"
2016,30081,3081,Loudoun County Commuter Bus Service - Office of Transportation Services(LC Transit),Active,Full Reporter,Leesburg,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770","$835,109","$1,172,655","$1,626,300","$1,861,611","$2,273,040","$2,971,298","$3,732,615","$4,966,833","$5,643,932","$6,893,451","$7,697,759","$7,652,415","$8,501,267","$8,959,194","$8,588,233"
2001,30082,3082,"Atlantic Paratrans, Inc.",Inactive,Full Reporter,Philadelphia,PA,1990,"Philadelphia, PA--NJ",4,"1,164","4,222,211",,,,,,,,,,,,,,,
2016,30083,3083,Transportation District Commission of Hampton Roads(HRT),Active,Full Reporter,Hampton,VA,2010,"Virginia Beach, VA",34,515,"1,439,666","$12,991,896","$13,367,775","$14,444,013","$14,600,656","$14,852,055","$15,518,713","$16,289,028","$17,604,214","$15,475,956","$16,157,993","$17,558,099","$16,082,901","$17,533,215","$17,440,538","$16,782,067"
2003,30084,3084,University of Pittsburgh,Inactive,Full Reporter,Pittsburgh,PA,2000,"Pittsburgh, PA",22,852,"1,753,136","$113,385","$141,355",,,,,,,,,,,,,
2016,30085,3085,Prince George's County Transit(TheBus),Active,Full Reporter,Largo,MD,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",,"$700,945","$819,057","$786,041","$960,020","$959,273","$1,113,985","$1,621,475","$1,845,017","$1,569,806","$1,801,111","$2,188,437","$2,089,873","$1,884,290","$1,655,102"
2016,30087,3087,Fayette Area Coordinated Transportation(FACT),Active,Full Reporter,Lemont Furnace,PA,2010,"Uniontown-Connellsville, PA",487,39,"51,370",,"$67,985",,"$88,972","$99,591","$132,526","$145,184","$233,559","$296,596","$227,050","$231,415","$251,388","$262,182","$284,133","$286,317"
2016,30088,3088,"County Commissioners of Charles County, MD(DCS  VanGO)",Active,Full Reporter,Port Tobacco,MD,2010,"Waldorf, MD",283,68,"109,919",,,"$174,301","$215,483","$238,632","$248,559","$311,655","$340,936","$336,149","$315,281","$354,122","$345,474","$374,999","$405,438","$370,512"
2016,30089,3089,Monongalia County Urban Mass Transit Authority(MLTA),Active,Reduced Reporter,Morgantown,WV,2010,"Morgantown, WV",393,37,"70,350",,,,"$103,492","$175,941","$832,398","$985,394","$1,393,009","$1,417,248","$1,443,806","$1,530,313","$1,615,744","$1,663,435","$1,422,722","$664,120"
2016,30090,3090,Eastern Panhandle Transit Authority(EPTA),Active,Reduced Reporter,Martinsburg,WV,2010,"Hagerstown, MD-WV-PA",189,133,"182,696",,,,,,,,,,$0,$0,"$124,790","$162,461","$288,842","$304,764"
2016,30091,3091,Blacksburg Transit(BT),Active,Full Reporter,Blacksburg,VA,2010,"Blacksburg, VA",328,51,"88,542",,,,"$1,772,594","$1,910,278","$2,085,866","$2,258,042","$2,270,668","$2,292,181","$2,529,074","$2,902,125","$3,191,937","$3,459,740","$3,339,531","$3,292,380"
2016,30092,3092,Carroll County Department of Citizen Services(CATS),Active,Reduced Reporter,Westminster,MD,2010,"Westminster-Eldersburg, MD",383,58,"72,714",,,,"$275,809","$261,392","$297,438","$348,089","$349,603","$397,294","$187,240","$248,349","$244,610","$223,147","$201,114","$200,316"
2016,30093,3093,City of Hazleton -- Hazleton Public Transit(HPT),Active,Reduced Reporter,Hazleton,PA,2010,"Hazleton, PA",460,31,"56,827",,,,,,,,,,,"$166,503","$191,201","$203,869","$199,989","$210,870"
2016,30094,3094,City of Harrisonburg Department of Public Transportation(Harrisonburg Transit),Active,Full Reporter,Harrisonburg,VA,2010,"Harrisonburg, VA",413,33,"66,784",,,,"$840,332","$1,030,256","$1,069,788","$1,261,264","$1,343,257","$1,369,874","$1,468,167","$1,559,628","$1,651,582","$1,766,613","$1,805,152","$1,810,585"
2016,30095,3095,County of Lebanon Transit Authority(Lebanon Transit),Active,Full Reporter,Lebanon,PA,2010,"Lebanon, PA",366,45,"77,086",,,,,"$959,485","$931,803","$1,302,821","$1,295,313","$1,232,726","$1,296,474","$1,355,575","$1,256,468","$1,298,549","$1,366,671","$1,412,770"
2016,30096,3096,The Tri-County Council for the Lower Eastern Shore of Maryland(Shore Transit),Active,Full Reporter,Salisbury,MD,2010,"Salisbury, MD-DE",307,71,"98,081",,,,$0,"$710,004","$614,561","$771,165","$1,840,225","$1,592,167","$1,873,961","$964,557","$947,554","$845,946","$731,910","$749,135"
2014,30098,3098,Washington County Commissioners(CABL Bus lines),Inactive,Reduced Reporter,Marietta,OH,2010,"Parkersburg, WV-OH",411,42,"67,229",,,,,,,,,,"$8,964","$10,867","$11,505","$11,173",,
2016,30099,3099,City of Winchester(WinTran),Active,Reduced Reporter,Winchester,VA,2010,"Winchester, VA",398,37,"69,449",,,,,,,,,,$0,"$92,711","$88,810","$78,450","$81,046","$89,146"
2015,30101,3101,City of Washington(City Transit),Inactive,Full Reporter,Washington,PA,2010,"Pittsburgh, PA",27,905,"1,733,853",,,,,,,"$64,257","$77,702","$69,877","$72,616","$81,910","$108,627","$133,085","$148,469",
2016,30102,3102,Martz Trailways,Active,Full Reporter,Wilkes Barre,PA,2010,"New York-Newark, NY-NJ-CT",1,"3,450","18,351,295",,,,,,,$0,$0,,"$18,174,497","$20,252,654","$20,214,450","$20,275,024",,"$18,975,319"
2016,30103,3103,"Martz Group, National Coach Works of Virginia(NCW)",Active,Full Reporter,Fredericksburg,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",,,,,,,"$1,723,044","$1,696,508","$2,072,307","$2,338,595","$2,115,714","$2,604,832","$3,167,697",,"$1,454,471"
2016,30104,3104,Metropolitan Washington Airports Authority(MWAA),Active,Building Reporter,Washington,DC,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",,,,,,,,,,,$0,$0,$0,$0,$0
2016,30105,3105,Northern Virginia Transportation Commission(NVTC),Active,Planning Reporter,Arlington,VA,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",,,,,,,,,,,$0,$0,$0,$0,$0
2016,30106,3106,National Capital Region Transportation Planning Board(MWCOG/TPB),Active,Reduced Reporter,Washington,DC,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",,,,,,,,,,,"$1,696","$28,046","$148,038","$134,336","$191,167"
2016,30107,3107,West Virginia University - Morgantown Personal Rapid Transit,Active,Full Reporter,Morgantown,WV,2010,"Morgantown, WV",393,37,"70,350",,,,,,,,,,,"$3,803,444","$5,148,530","$5,701,255","$6,173,657","$6,189,070"
2016,30108,3108,Cecil County Government - SSCT,Active,Reduced Reporter,Elkton,MD,2010,"Philadelphia, PA-NJ-DE-MD",5,"1,981","5,441,567",,,,,,,,,,,"$101,236","$114,512","$144,051","$139,704","$121,749"
2016,30109,3109,St. Mary's Transit System -Dept. of Public Works and Transit(STS),Active,Reduced Reporter,California ,MD,2010,"Lexington Park-California-Chesapeake Ranch Estates, MD",451,50,"58,875",,,,,,,,,,,"$328,845","$334,721","$313,887","$335,725","$367,126"
2016,30111,3111,Washington Rides,Active,Full Reporter,Washington,PA,2010,"Pittsburgh, PA",27,905,"1,733,853",,,,,,,,,,,,,"$269,913","$255,972","$358,154"
2016,30112,3112,DDOT - Progressive Transportation Services Administration,Active,Full Reporter,Washington,DC,2010,"Washington, DC-VA-MD",8,"1,322","4,586,770",,,,,,,,,,,,,$0,"$3,136,900","$3,084,263"
2016,30129,3R03-018,Anne Arundel County,Active,Full Reporter,Annapolis,MD,2010,"Baltimore, MD",19,717,"2,203,663",,,,,,,,,,,,,,,"$322,828"
2016,30131,3R03-005,"Board of County Commissioners of Calvert County, Maryland",Active,Reduced Reporter,Prince Frederick,MD,2010,"Lexington Park-California-Chesapeake Ranch Estates, MD",451,50,"58,875",,,,,,,,,,,,,,,"$117,092"
2016,30137,3R04-012,Monroe County Transportation  Authority(MCTA),Active,Full Reporter,Scotrun,PA,2010,"East Stroudsburg, PA-NJ",472,52,"54,316",,,,,,,,,,,,,"$454,450","$416,287","$414,368"
2016,30167,3R04-002,County of Carbon(CCCT),Active,Reduced Reporter,Jim Thorpe,PA,2010,"Allentown, PA-NJ",61,346,"664,651",,,,,,,,,,,,,,,"$120,416"
2016,30198,,Suffolk Transit,Active,Reduced Reporter,Suffolk,VA,2010,"Virginia Beach, VA",34,515,"1,439,666",,,,,,,,,,,,,,"$53,055","$67,849"
2016,30199,,New River Transit Authority,Active,Reduced Reporter,Beckley,WV,2010,"Beckley, WV",430,61,"64,022",,,,,,,,,,,,,,$0,"$62,726"
2016,30200,,City of Radford,Active,Reduced Reporter,Radford,VA,2010,"Blacksburg, VA",328,51,"88,542",,,,,,,,,,,,,,"$384,352","$429,033"
2016,30201,,Baltimore City Department of Transportation,Active,Full Reporter,Baltimore,MD,2010,"Baltimore, MD",19,717,"2,203,663",,,,,,,,,,,,,,,$0
2016,30989,3113,Central Shenandoah Planning District Commission(CSPDC),Active,Reduced Reporter,Staunton,VA,2010,"Staunton-Waynesboro, VA",461,38,"56,611",,,,,,,,,,,,,"$27,853","$56,563","$58,794"
2016,30990,,Airport Corridor Transportation Association,Active,Reduced Reporter,Pittsburgh,PA,2010,"Pittsburgh, PA",27,905,"1,733,853",,,,,,,,,,,,,,$0,"$18,028"
