,record,lma_code,lma_fips,lma_title,two_digit,Area_Code
3156,3157,MT3716740000000,16740,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",MT,LAUMT3716740000000
3170,3171,MT3720500000000,20500,"Durham-Chapel Hill, NC Metropolitan Statistical Area",MT,LAUMT3720500000000
3177,3178,MT3722180000000,22180,"Fayetteville, NC Metropolitan Statistical Area",MT,LAUMT3722180000000
3180,3181,MT3724140000000,24140,"Goldsboro, NC Metropolitan Statistical Area",MT,LAUMT3724140000000
3183,3184,MT3724660000000,24660,"Greensboro-High Point, NC Metropolitan Statistical Area",MT,LAUMT3724660000000
3186,3187,MT3724780000000,24780,"Greenville, NC Metropolitan Statistical Area",MT,LAUMT3724780000000
3189,3190,MT3725860000000,25860,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",MT,LAUMT3725860000000
3194,3195,MT3727340000000,27340,"Jacksonville, NC Metropolitan Statistical Area",MT,LAUMT3727340000000
3207,3208,MT4534820000000,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",MT,LAUMT4534820000000
3208,3209,MT3735100000000,35100,"New Bern, NC Metropolitan Statistical Area",MT,LAUMT3735100000000
3215,3216,MT3739580000000,39580,"Raleigh, NC Metropolitan Statistical Area",MT,LAUMT3739580000000
3221,3222,MT3740580000000,40580,"Rocky Mount, NC Metropolitan Statistical Area",MT,LAUMT3740580000000
3227,3228,MT5147260000000,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",MT,LAUMT5147260000000
3232,3233,MT3748900000000,48900,"Wilmington, NC Metropolitan Statistical Area",MT,LAUMT3748900000000
3235,3236,MT3749180000000,49180,"Winston-Salem, NC Metropolitan Statistical Area",MT,LAUMT3749180000000
3245,3246,MT3813900000000,13900,"Bismarck, ND Metropolitan Statistical Area",MT,LAUMT3813900000000
3295,3296,MT3910420000000,10420,"Akron, OH Metropolitan Statistical Area",MT,LAUMT3910420000000
3303,3304,MT3915940000000,15940,"Canton-Massillon, OH Metropolitan Statistical Area",MT,LAUMT3915940000000
3312,3313,MT3917460000000,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",MT,LAUMT3917460000000
3317,3318,MT3918140000000,18140,"Columbus, OH Metropolitan Statistical Area",MT,LAUMT3918140000000
3328,3329,MT3919380000000,19380,"Dayton, OH Metropolitan Statistical Area",MT,LAUMT3919380000000
3342,3343,MT3930620000000,30620,"Lima, OH Metropolitan Statistical Area",MT,LAUMT3930620000000
3343,3344,MT3931900000000,31900,"Mansfield, OH Metropolitan Statistical Area",MT,LAUMT3931900000000
3363,3364,MT3944220000000,44220,"Springfield, OH Metropolitan Statistical Area",MT,LAUMT3944220000000
3365,3366,MT3945780000000,45780,"Toledo, OH Metropolitan Statistical Area",MT,LAUMT3945780000000
3373,3374,MT3948260000000,48260,"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",MT,LAUMT3948260000000
3374,3375,MT5448540000000,48540,"Wheeling, WV-OH Metropolitan Statistical Area",MT,LAUMT5448540000000
3379,3380,MT3949660000000,49660,"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",MT,LAUMT3949660000000
3402,3403,MT4021420000000,21420,"Enid, OK Metropolitan Statistical Area",MT,LAUMT4021420000000
3418,3419,MT4030020000000,30020,"Lawton, OK Metropolitan Statistical Area",MT,LAUMT4030020000000
3433,3434,MT4036420000000,36420,"Oklahoma City, OK Metropolitan Statistical Area",MT,LAUMT4036420000000
3448,3449,MT4046140000000,46140,"Tulsa, OK Metropolitan Statistical Area",MT,LAUMT4046140000000
3459,3460,MT4110540000000,10540,"Albany, OR Metropolitan Statistical Area",MT,LAUMT4110540000000
3462,3463,MT4113460000000,13460,"Bend-Redmond, OR Metropolitan Statistical Area",MT,LAUMT4113460000000
3465,3466,MT4118700000000,18700,"Corvallis, OR Metropolitan Statistical Area",MT,LAUMT4118700000000
3466,3467,MT4121660000000,21660,"Eugene, OR Metropolitan Statistical Area",MT,LAUMT4121660000000
3469,3470,MT4124420000000,24420,"Grants Pass, OR Metropolitan Statistical Area",MT,LAUMT4124420000000
3478,3479,MT4132780000000,32780,"Medford, OR Metropolitan Statistical Area",MT,LAUMT4132780000000
3481,3482,MT4138900000000,38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",MT,LAUMT4138900000000
3488,3489,MT4141420000000,41420,"Salem, OR Metropolitan Statistical Area",MT,LAUMT4141420000000
3498,3499,MT4211020000000,11020,"Altoona, PA Metropolitan Statistical Area",MT,LAUMT4211020000000
3500,3501,MT4214100000000,14100,"Bloomsburg-Berwick, PA Metropolitan Statistical Area",MT,LAUMT4214100000000
3504,3505,MT4216540000000,16540,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",MT,LAUMT4216540000000
3507,3508,MT4220700000000,20700,"East Stroudsburg, PA Metropolitan Statistical Area",MT,LAUMT4220700000000
3508,3509,MT4221500000000,21500,"Erie, PA Metropolitan Statistical Area",MT,LAUMT4221500000000
3511,3512,MT4223900000000,23900,"Gettysburg, PA Metropolitan Statistical Area",MT,LAUMT4223900000000
3513,3514,MT4225420000000,25420,"Harrisburg-Carlisle, PA Metropolitan Statistical Area",MT,LAUMT4225420000000
3519,3520,MT4227780000000,27780,"Johnstown, PA Metropolitan Statistical Area",MT,LAUMT4227780000000
3521,3522,MT4229540000000,29540,"Lancaster, PA Metropolitan Statistical Area",MT,LAUMT4229540000000
3522,3523,MT4230140000000,30140,"Lebanon, PA Metropolitan Statistical Area",MT,LAUMT4230140000000
3535,3536,MT4238300000000,38300,"Pittsburgh, PA Metropolitan Statistical Area",MT,LAUMT4238300000000
3544,3545,MT4239740000000,39740,"Reading, PA Metropolitan Statistical Area",MT,LAUMT4239740000000
3547,3548,MT4242540000000,42540,"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area",MT,LAUMT4242540000000
3552,3553,MT4244300000000,44300,"State College, PA Metropolitan Statistical Area",MT,LAUMT4244300000000
3559,3560,MT4248700000000,48700,"Williamsport, PA Metropolitan Statistical Area",MT,LAUMT4248700000000
3560,3561,MT4249620000000,49620,"York-Hanover, PA Metropolitan Statistical Area",MT,LAUMT4249620000000
3607,3608,MT4516700000000,16700,"Charleston-North Charleston, SC Metropolitan Statistical Area",MT,LAUMT4516700000000
3616,3617,MT4517900000000,17900,"Columbia, SC Metropolitan Statistical Area",MT,LAUMT4517900000000
3623,3624,MT4522500000000,22500,"Florence, SC Metropolitan Statistical Area",MT,LAUMT4522500000000
3627,3628,MT4524860000000,24860,"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",MT,LAUMT4524860000000
3634,3635,MT4525940000000,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",MT,LAUMT4525940000000
3643,3644,MT4543900000000,43900,"Spartanburg, SC Metropolitan Statistical Area",MT,LAUMT4543900000000
3645,3646,MT4544940000000,44940,"Sumter, SC Metropolitan Statistical Area",MT,LAUMT4544940000000
3695,3696,MT4639660000000,39660,"Rapid City, SD Metropolitan Statistical Area",MT,LAUMT4639660000000
3701,3702,MT4643620000000,43620,"Sioux Falls, SD Metropolitan Statistical Area",MT,LAUMT4643620000000
3724,3725,MT4717420000000,17420,"Cleveland, TN Metropolitan Statistical Area",MT,LAUMT4717420000000
3745,3746,MT4727180000000,27180,"Jackson, TN Metropolitan Statistical Area",MT,LAUMT4727180000000
3748,3749,MT4727740000000,27740,"Johnson City, TN Metropolitan Statistical Area",MT,LAUMT4727740000000
3752,3753,MT4728700000000,28700,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",MT,LAUMT4728700000000
3754,3755,MT4728940000000,28940,"Knoxville, TN Metropolitan Statistical Area",MT,LAUMT4728940000000
3777,3778,MT4734100000000,34100,"Morristown, TN Metropolitan Statistical Area",MT,LAUMT4734100000000
3779,3780,MT4734980000000,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",MT,LAUMT4734980000000
3808,3809,MT4810180000000,10180,"Abilene, TX Metropolitan Statistical Area",MT,LAUMT4810180000000
3812,3813,MT4811100000000,11100,"Amarillo, TX Metropolitan Statistical Area",MT,LAUMT4811100000000
3819,3820,MT4812420000000,12420,"Austin-Round Rock, TX Metropolitan Statistical Area",MT,LAUMT4812420000000
3827,3828,MT4813140000000,13140,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",MT,LAUMT4813140000000
3843,3844,MT4815180000000,15180,"Brownsville-Harlingen, TX Metropolitan Statistical Area",MT,LAUMT4815180000000
3853,3854,MT4817780000000,17780,"College Station-Bryan, TX Metropolitan Statistical Area",MT,LAUMT4817780000000
3860,3861,MT4818580000000,18580,"Corpus Christi, TX Metropolitan Statistical Area",MT,LAUMT4818580000000
3870,3871,MT4819100000000,19100,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",MT,LAUMT4819100000000
3895,3896,MT4821340000000,21340,"El Paso, TX Metropolitan Statistical Area",MT,LAUMT4821340000000
3918,3919,MT4826420000000,26420,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",MT,LAUMT4826420000000
3938,3939,MT4828660000000,28660,"Killeen-Temple, TX Metropolitan Statistical Area",MT,LAUMT4828660000000
3950,3951,MT4829700000000,29700,"Laredo, TX Metropolitan Statistical Area",MT,LAUMT4829700000000
3959,3960,MT4830980000000,30980,"Longview, TX Metropolitan Statistical Area",MT,LAUMT4830980000000
3962,3963,MT4831180000000,31180,"Lubbock, TX Metropolitan Statistical Area",MT,LAUMT4831180000000
3970,3971,MT4832580000000,32580,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",MT,LAUMT4832580000000
3974,3975,MT4833260000000,33260,"Midland, TX Metropolitan Statistical Area",MT,LAUMT4833260000000
3986,3987,MT4836220000000,36220,"Odessa, TX Metropolitan Statistical Area",MT,LAUMT4836220000000
4009,4010,MT4841660000000,41660,"San Angelo, TX Metropolitan Statistical Area",MT,LAUMT4841660000000
4011,4012,MT4841700000000,41700,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",MT,LAUMT4841700000000
4026,4027,MT4843300000000,43300,"Sherman-Denison, TX Metropolitan Statistical Area",MT,LAUMT4843300000000
4041,4042,MT4846340000000,46340,"Tyler, TX Metropolitan Statistical Area",MT,LAUMT4846340000000
4046,4047,MT4847020000000,47020,"Victoria, TX Metropolitan Statistical Area",MT,LAUMT4847020000000
4048,4049,MT4847380000000,47380,"Waco, TX Metropolitan Statistical Area",MT,LAUMT4847380000000
4052,4053,MT4848660000000,48660,"Wichita Falls, TX Metropolitan Statistical Area",MT,LAUMT4848660000000
4073,4074,MT4936260000000,36260,"Ogden-Clearfield, UT Metropolitan Statistical Area",MT,LAUMT4936260000000
4079,4080,MT4939340000000,39340,"Provo-Orem, UT Metropolitan Statistical Area",MT,LAUMT4939340000000
4082,4083,MT4941100000000,41100,"St. George, UT Metropolitan Statistical Area",MT,LAUMT4941100000000
4083,4084,MT4941620000000,41620,"Salt Lake City, UT Metropolitan Statistical Area",MT,LAUMT4941620000000
4133,4134,MT5072400000000,72400,"Burlington-South Burlington, VT Metropolitan NECTA",MT,LAUMT5072400000000
4350,4351,MT5113980000000,13980,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",MT,LAUMT5113980000000
4363,4364,MT5116820000000,16820,"Charlottesville, VA Metropolitan Statistical Area",MT,LAUMT5116820000000
4375,4376,MT5125500000000,25500,"Harrisonburg, VA Metropolitan Statistical Area",MT,LAUMT5125500000000
4387,4388,MT5131340000000,31340,"Lynchburg, VA Metropolitan Statistical Area",MT,LAUMT5131340000000
4406,4407,MT5140060000000,40060,"Richmond, VA Metropolitan Statistical Area",MT,LAUMT5140060000000
4423,4424,MT5140220000000,40220,"Roanoke, VA Metropolitan Statistical Area",MT,LAUMT5140220000000
4437,4438,MT5144420000000,44420,"Staunton-Waynesboro, VA Metropolitan Statistical Area",MT,LAUMT5144420000000
4473,4474,MT5149020000000,49020,"Winchester, VA-WV Metropolitan Statistical Area",MT,LAUMT5149020000000
4477,4478,MT5313380000000,13380,"Bellingham, WA Metropolitan Statistical Area",MT,LAUMT5313380000000
4478,4479,MT5314740000000,14740,"Bremerton-Silverdale, WA Metropolitan Statistical Area",MT,LAUMT5314740000000
4484,4485,MT5328420000000,28420,"Kennewick-Richland, WA Metropolitan Statistical Area",MT,LAUMT5328420000000
4489,4490,MT5331020000000,31020,"Longview, WA Metropolitan Statistical Area",MT,LAUMT5331020000000
4491,4492,MT5334580000000,34580,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",MT,LAUMT5334580000000
4494,4495,MT5336500000000,36500,"Olympia-Tumwater, WA Metropolitan Statistical Area",MT,LAUMT5336500000000
4502,4503,MT5342660000000,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",MT,LAUMT5342660000000
4506,4507,MT5344060000000,44060,"Spokane-Spokane Valley, WA Metropolitan Statistical Area",MT,LAUMT5344060000000
4510,4511,MT5347460000000,47460,"Walla Walla, WA Metropolitan Statistical Area",MT,LAUMT5347460000000
4512,4513,MT5348300000000,48300,"Wenatchee, WA Metropolitan Statistical Area",MT,LAUMT5348300000000
4514,4515,MT5349420000000,49420,"Yakima, WA Metropolitan Statistical Area",MT,LAUMT5349420000000
4516,4517,MT5413220000000,13220,"Beckley, WV Metropolitan Statistical Area",MT,LAUMT5413220000000
4521,4522,MT5416620000000,16620,"Charleston, WV Metropolitan Statistical Area",MT,LAUMT5416620000000
4546,4547,MT5434060000000,34060,"Morgantown, WV Metropolitan Statistical Area",MT,LAUMT5434060000000
4549,4550,MT5437620000000,37620,"Parkersburg-Vienna, WV Metropolitan Statistical Area",MT,LAUMT5437620000000
4571,4572,MT5511540000000,11540,"Appleton, WI Metropolitan Statistical Area",MT,LAUMT5511540000000
4585,4586,MT5520740000000,20740,"Eau Claire, WI Metropolitan Statistical Area",MT,LAUMT5520740000000
4587,4588,MT5522540000000,22540,"Fond du Lac, WI Metropolitan Statistical Area",MT,LAUMT5522540000000
4590,4591,MT5524580000000,24580,"Green Bay, WI Metropolitan Statistical Area",MT,LAUMT5524580000000
4596,4597,MT5527500000000,27500,"Janesville-Beloit, WI Metropolitan Statistical Area",MT,LAUMT5527500000000
4601,4602,MT5531540000000,31540,"Madison, WI Metropolitan Statistical Area",MT,LAUMT5531540000000
4610,4611,MT5533340000000,33340,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",MT,LAUMT5533340000000
4618,4619,MT5536780000000,36780,"Oshkosh-Neenah, WI Metropolitan Statistical Area",MT,LAUMT5536780000000
4623,4624,MT5539540000000,39540,"Racine, WI Metropolitan Statistical Area",MT,LAUMT5539540000000
4629,4630,MT5543100000000,43100,"Sheboygan, WI Metropolitan Statistical Area",MT,LAUMT5543100000000
4638,4639,MT5548140000000,48140,"Wausau, WI Metropolitan Statistical Area",MT,LAUMT5548140000000
4644,4645,MT5616220000000,16220,"Casper, WY Metropolitan Statistical Area",MT,LAUMT5616220000000
4645,4646,MT5616940000000,16940,"Cheyenne, WY Metropolitan Statistical Area",MT,LAUMT5616940000000
4666,4667,MT7210380000000,10380,"Aguadilla-Isabela, PR Metropolitan Statistical Area",MT,LAUMT7210380000000
4675,4676,MT7211640000000,11640,"Arecibo, PR Metropolitan Statistical Area",MT,LAUMT7211640000000
4682,4683,MT7225020000000,25020,"Guayama, PR Metropolitan Statistical Area",MT,LAUMT7225020000000
4688,4689,MT7232420000000,32420,"Mayaguez, PR Metropolitan Statistical Area",MT,LAUMT7232420000000
4690,4691,MT7238660000000,38660,"Ponce, PR Metropolitan Statistical Area",MT,LAUMT7238660000000
4697,4698,MT7241900000000,41900,"San German, PR Metropolitan Statistical Area",MT,LAUMT7241900000000
4701,4702,MT7241980000000,41980,"San Juan-Carolina-Caguas, PR Metropolitan Statistical Area",MT,LAUMT7241980000000
