X,metro,population,zerovehiclehh,densepop,percentdense,state,totalopex,totalvoms,totalvrm,totalvrh,rail,11-cluster,5-cluster,8-group
238,Vallejo-Fairfield,429596,0.057275574,176398,0.410613693,CA,17745456.12,61.11948333,3401004.961,170768.5592,0,2,2,G
239,Virginia Beach-Norfolk-Newport News,1714428,0.066895956,474045,0.2765033,VA,81418972,244.3333333,12016254,915954,1,9,4,B
240,Visalia-Porterville,455769,0.064307172,77503,0.170048862,CA,17883838,37.5,2495942,159924,0,7,3,D
241,Waco,260659,0.06788151,11296,0.043336313,TX,5115526,14.5,816872,54350,0,4,3,E
242,Washington-Arlington-Alexandria,6011752,0.100037245,2447171,0.40706453,VA,925890754.4,2342.612861,79981384.24,7037617.601,1,8,5,A
243,Wenatchee,114862,0.064166747,6401,0.055727743,WA,10533003,29.25,1747554,83841,0,4,3,E
244,Wheeling,144781,0.097990161,4400,0.030390728,OH,3722165.575,13.5492,709279.3284,55169.439,0,1,1,H
245,Wichita,640505,0.057392988,100858,0.157466374,KS,9762142,37,1648115,116116,0,3,3,F
246,Williamsport,116313,0.09257025,12670,0.108930214,PA,6830857,23,871268,56882,0,1,1,H
247,Wilmington,272788,0.059237467,21447,0.078621494,NC,6978971,24.16666667,1216917,86240,0,4,3,E
248,Winston-Salem,654589,0.066202212,17870,0.027299573,NC,11447579.35,35.982,1593101.051,129979.9775,0,4,3,E
249,Worcester,930667,0.086173661,161462,0.173490626,CT,25151127.54,62.78795,2702423.524,218418.531,0,1,1,H
250,Yakima,247681,0.054154821,40247,0.162495306,WA,6422290,20.75,944644,59321,0,3,3,F
251,York-Hanover,440604,0.057485358,62829,0.142597434,PA,10080192,43.66666667,1631889,116232,0,3,3,F
252,Youngstown-Warren-Boardman,552521,0.084480819,42046,0.076098465,PA,8567504.642,37.87116667,1312348.29,92204.222,0,7,3,D
253,Yuba City,169303,0.066952135,20205,0.119342244,CA,4549320,24,904913,58271,0,7,3,D
254,Yuma,203292,0.061093565,49690,0.244426736,AZ,5518293.053,18.03041667,829433.2425,37496.65,0,2,2,G
